,CTRL_0_R1,CTRL_0_R2,CTRL_0_R3,PT1_0_R1,PT1_0_R2,PT1_0_R3,PT1_9.6_R1,PT1_9.6_R2,PT1_9.6_R3,PT1_9.6_R4,PT1_15.4_R1,PT1_15.4_R2,PT1_15.4_R3,PT1_15.4_R4,PT2_0_R1,PT2_0_R2,PT2_0_R3,PT2_9.6_R1,PT2_9.6_R2,PT2_9.6_R3,PT2_9.6_R4,PT2_15.4_R1,PT2_15.4_R2,PT2_15.4_R3,PT2_15.4_R4,PT3_0_R1,PT3_0_R2,PT3_0_R3,PT3_9.6_R1,PT3_9.6_R2,PT3_9.6_R3,PT3_9.6_R4,PT3_15.4_R1,PT3_15.4_R2,PT3_15.4_R3,PT3_15.4_R4,PT4_0_R1,PT4_0_R2,PT4_0_R3,PT4_9.6_R1,PT4_9.6_R2,PT4_9.6_R3,PT4_9.6_R4,PT4_15.4_R1,PT4_15.4_R2,PT4_15.4_R3,PT4_15.4_R4,PT5_0_R1,PT5_0_R2,PT5_0_R3,PT5_9.6_R1,PT5_9.6_R2,PT5_9.6_R3,PT5_9.6_R4,PT5_15.4_R1,PT5_15.4_R2,PT5_15.4_R3,PT5_15.4_R4
L03F6075,0,0,0,6,0,0,0,0,0,0,1,0,1,1,2,1,2,0,0,1,0,0,15,2,0,2,0,0,1,0,5,1,2,0,2,4,5,2,12,0,0,0,3,2,0,1,0,2,0,2,0,0,0,0,4,0,10,1
L03F6076,0,0,0,269,51,63,2,0,0,127,139,146,126,430,65,104,130,90,76,158,19,134,415,151,200,207,107,51,127,102,117,137,130,13,160,246,381,179,410,7,0,2,281,191,137,160,85,297,297,439,143,118,225,222,253,251,846,459
L03F6077,0,0,1,4,1,1,0,0,0,1,2,2,0,2,8,6,6,2,1,1,1,2,5,3,5,11,8,3,0,2,3,1,2,0,0,2,6,28,18,0,0,0,6,20,15,12,9,18,20,19,4,4,1,5,12,3,20,11
L03F6078,0,0,0,122,14,26,0,0,0,84,77,82,78,248,14,54,63,23,11,26,0,17,76,12,39,50,33,19,40,26,25,39,20,3,85,36,153,83,133,4,1,0,172,86,72,143,50,63,65,133,34,26,27,49,59,49,141,68
L03F6079,0,0,0,1,3,2,13,0,0,6,111,32,2,14,0,2,13,0,1,5,0,2,12,3,7,9,4,2,88,3,2,5,5,1,14,9,32,4,34,0,0,0,7,9,4,5,2,5,5,7,6,4,7,2,6,3,21,9
L03F6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6081,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6082,0,0,0,48,7,18,0,0,0,21,18,27,23,61,22,31,34,15,8,38,2,25,84,13,42,50,38,12,18,13,22,29,23,8,27,54,54,54,46,0,0,0,31,47,33,32,18,52,49,64,21,22,7,31,34,32,118,61
L03F6083,0,0,0,18,2,7,0,0,0,11,15,15,8,30,7,5,6,10,7,28,1,17,38,15,24,33,16,10,2,11,8,13,11,4,7,31,8,7,13,0,0,0,16,7,8,29,8,23,23,42,14,10,10,16,16,31,74,47
L03F6084,0,0,0,4,0,3,0,0,0,6,10,4,6,9,3,4,0,4,7,16,1,10,19,7,28,16,1,4,1,3,9,8,3,0,7,11,11,5,5,1,0,0,4,1,4,2,3,9,8,24,12,7,5,6,9,14,64,23
L03F6085,0,0,0,16,20,3,0,0,0,2,29,3,2,7,16,30,5,6,6,52,58,17,61,14,18,3,0,0,2,2,3,10,18,0,16,19,6,5,6,4,0,2,4,20,17,15,7,16,13,20,12,2,7,23,14,14,105,81
L03F6086,0,0,0,2,9,1,0,0,0,0,4,0,0,4,0,1,4,0,0,13,4,1,2,2,6,2,0,1,0,1,2,2,1,0,2,2,0,1,1,0,0,0,0,0,8,1,3,1,1,1,0,0,1,0,2,1,3,4
L03F6087,0,0,0,279,90,67,0,6,1,150,243,157,130,537,107,231,98,110,140,567,822,167,1264,270,292,113,41,28,115,107,155,208,271,28,207,421,219,152,215,31,1,4,465,231,360,367,182,176,194,307,182,77,185,354,320,295,1562,661
L03F6088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
L03F6089,1,0,4,386,93,88,6,1,1,169,222,201,146,524,100,219,223,140,111,204,42,250,803,218,291,297,170,73,156,180,178,223,182,36,240,469,531,335,524,8,0,0,250,300,163,322,95,318,355,471,190,153,131,283,370,342,1039,627
L03F6090,0,0,2,220,45,46,0,1,1,78,62,107,61,215,50,84,114,93,50,129,21,127,421,117,130,244,123,48,44,114,128,129,108,20,56,255,270,256,225,8,0,0,146,203,92,119,41,139,133,208,96,70,58,119,98,123,470,230
L03F6091,0,0,0,1,0,0,0,0,0,1,1,2,0,6,0,0,2,0,1,0,0,1,6,1,1,8,1,0,2,1,0,0,1,0,5,2,15,1,14,0,0,0,0,2,5,3,0,1,0,3,1,1,0,1,1,1,3,2
L03F6092,0,0,3,7,2,1,0,0,0,2,4,2,4,5,4,2,4,1,7,4,0,7,11,6,8,13,4,1,1,1,4,4,6,0,1,4,5,14,11,0,0,0,9,8,4,11,1,4,5,10,2,2,4,2,1,3,12,2
L03F6093,0,0,0,2,1,0,0,0,0,1,0,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,2,15,1,5,1,0,0,6,2,5,2,4,0,0,0,1,0,0,1,0,0,0,0
L03F6094,0,0,0,0,0,1,0,0,0,1,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,4,0,2,0,0,0,5,0,1,3,0,0,0,1,0,0,0,0,1,0,1,0
L03F6095,0,0,0,1,0,0,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0
L03F6096,0,0,1,461,91,111,8,3,0,248,255,244,227,674,138,187,290,174,147,329,32,247,924,281,408,372,189,77,268,148,188,219,184,32,346,378,894,651,1064,28,0,0,706,593,343,429,180,621,659,852,352,238,215,412,575,559,1729,931
L03F6097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6098,0,0,0,314,79,85,6,1,0,91,191,97,121,311,62,160,186,88,92,233,114,141,587,196,247,238,112,61,95,93,133,145,142,24,173,286,389,275,590,10,1,1,217,187,193,274,126,401,429,518,201,135,130,343,271,276,986,868
L03F6099,0,0,0,0,0,4,0,0,0,1,1,0,3,3,0,2,1,1,0,0,0,2,4,1,0,2,2,0,1,0,0,1,0,0,1,3,5,2,2,0,0,0,1,3,2,1,0,1,0,8,1,0,1,3,4,1,3,1
L03F6100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L03F6101,0,0,0,9,3,1,0,0,0,2,7,6,11,35,6,6,10,2,3,2,0,1,8,6,6,12,10,2,1,2,5,5,1,0,6,8,17,5,24,0,0,0,13,6,6,17,4,5,10,8,5,2,4,6,7,7,18,15
L03F6102,0,0,0,48,7,16,1,0,0,25,35,33,26,91,6,20,26,22,15,29,5,32,104,33,39,62,38,10,42,22,29,33,25,6,35,51,90,28,79,0,0,0,44,40,22,21,12,42,47,51,27,17,13,35,39,37,127,74
L03F6103,0,0,0,6,5,4,0,0,0,2,5,2,2,9,5,14,9,2,1,4,1,2,12,6,4,8,8,2,1,2,2,5,3,3,2,11,15,19,30,0,0,0,7,10,4,18,7,18,22,10,2,1,2,2,7,7,9,24
L03F6104,0,0,0,15,3,0,1,0,0,3,5,2,2,9,3,1,6,1,0,4,2,0,37,4,5,15,8,2,0,5,4,6,7,0,3,4,11,6,18,0,0,0,10,7,3,6,4,4,2,2,3,1,1,4,2,1,13,9
L03F6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6106,0,0,0,102,28,30,1,2,0,28,49,22,38,66,16,41,77,23,17,26,4,31,140,23,47,51,30,8,31,22,27,26,26,7,41,47,108,38,192,5,0,0,58,27,30,107,20,75,97,145,38,36,39,48,73,70,164,86
L03F6107,0,0,0,53,11,14,0,0,1,19,35,16,17,72,20,15,40,12,6,19,3,32,117,23,39,71,39,15,28,11,14,19,15,1,49,29,98,64,82,2,0,0,70,22,23,29,19,46,44,60,31,28,12,34,34,23,109,69
L03F6108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6109,0,0,0,10,3,1,0,0,0,3,2,2,11,16,2,3,13,2,4,0,0,0,16,0,2,4,2,0,3,3,1,0,1,0,3,2,24,38,39,2,0,0,8,29,4,6,0,8,6,17,4,2,5,5,7,6,10,6
L03F6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6111,1,1,7,2192,456,574,4,10,5,789,861,1033,873,2650,672,1267,1102,526,331,620,126,820,2404,762,944,2170,1140,492,700,611,781,837,799,131,993,1793,3715,1346,2801,39,4,5,1192,1085,796,1055,456,1393,1419,1631,635,623,422,953,1126,1044,4012,2332
L03F6112,0,0,0,42,5,8,0,0,0,13,23,15,12,41,6,11,24,18,17,29,6,26,142,45,40,25,12,6,16,6,24,28,18,3,22,33,36,54,52,2,0,0,48,61,31,58,15,38,41,67,28,18,8,30,43,48,123,77
L03F6113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L03F6114,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
L03F6115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6116,0,0,1,2,2,2,0,1,0,2,3,3,1,5,0,2,3,4,3,15,21,2,34,8,5,6,0,0,0,1,1,1,8,0,0,6,8,6,7,0,0,0,5,7,5,7,2,0,3,8,3,0,1,6,9,5,9,6
L03F6117,0,0,0,3,1,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1
L03F6118,0,0,0,3,2,2,0,0,0,0,1,0,3,4,0,0,3,0,1,1,0,0,5,1,2,2,0,0,0,2,0,0,0,0,0,1,1,2,7,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,3,0,0,0
L03F6119,0,0,0,24,7,2,0,0,0,14,15,13,12,43,3,13,11,5,10,16,2,8,41,18,20,13,7,2,10,7,13,17,12,0,17,33,37,13,32,2,0,0,28,13,17,27,5,13,12,23,6,9,4,15,22,19,42,25
L03F6120,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
L03F6121,0,0,0,6,0,0,0,0,0,1,56,1,2,5,0,5,0,1,0,0,1,2,5,14,0,0,0,1,4,0,0,1,2,0,0,1,1,1,4,0,0,0,0,1,4,3,1,1,0,0,1,1,0,0,2,1,8,4
L03F6122,0,0,0,1,1,0,0,0,0,3,0,20,2,8,2,4,4,0,0,1,0,0,0,2,0,1,3,1,0,0,0,0,1,0,1,4,11,4,2,0,0,0,0,3,2,1,1,1,1,1,2,0,0,0,2,2,1,1
L03F6123,0,0,0,28,1,11,0,0,0,4,6,7,2,5,3,18,22,4,4,7,0,5,16,5,3,10,10,3,11,2,7,5,9,1,24,20,56,15,6,0,0,0,5,12,6,0,1,20,29,36,6,9,12,9,18,13,33,22
L03F6124,0,0,0,20,4,12,0,0,0,14,18,21,16,41,9,23,30,18,7,9,4,27,58,5,13,18,16,6,17,9,20,21,34,7,21,36,76,14,23,0,0,0,13,14,3,9,2,26,38,38,7,16,12,18,21,13,61,23
L03F6125,0,0,0,13,2,3,0,0,0,2,3,3,1,7,4,5,11,2,2,0,0,2,6,2,2,6,4,3,3,3,4,5,5,0,9,8,26,4,6,0,0,0,0,5,3,1,0,11,9,28,4,7,8,10,9,5,28,7
L03F6126,0,0,0,8,2,1,0,0,0,0,2,3,1,2,0,4,7,2,0,0,0,1,0,0,0,8,2,2,2,1,0,1,1,0,1,3,6,3,3,0,0,0,1,0,0,1,0,9,9,10,1,3,4,3,5,1,4,5
L03F6127,0,0,0,13,3,4,0,0,0,4,1,4,1,6,7,13,20,3,3,4,2,2,15,4,2,8,2,4,5,2,5,4,7,0,13,3,43,9,8,1,0,0,1,9,4,0,0,22,33,29,2,4,5,7,9,5,22,16
L03F6128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L03F6129,0,0,0,130,28,37,0,0,0,35,27,22,27,61,21,84,88,20,11,6,3,29,54,20,28,32,33,14,44,27,39,45,33,10,76,75,277,60,37,2,0,0,12,35,13,6,3,79,108,163,30,24,37,33,43,29,178,75
L03F6130,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
L03F6131,0,0,0,89,19,31,4,0,0,25,15,39,22,47,17,71,72,15,10,12,5,26,55,17,18,38,27,9,33,23,28,27,23,4,56,56,210,57,45,1,0,0,11,52,20,3,3,87,86,140,11,22,31,33,33,29,109,57
L03F6132,0,0,0,115,29,47,1,0,0,19,19,36,27,44,32,71,112,8,15,9,5,18,46,12,13,44,29,13,28,21,26,28,19,4,53,55,251,58,41,0,0,0,15,48,12,10,1,71,73,131,24,26,24,25,27,25,111,37
L03F6133,0,0,1,143,43,39,2,0,0,89,74,116,87,246,57,97,84,35,42,56,4,68,249,55,86,155,113,30,47,57,57,62,60,7,73,147,187,134,234,2,0,0,136,113,93,145,55,120,156,187,50,47,27,94,134,112,360,211
L03F6134,0,0,0,477,82,123,1,3,2,328,266,333,238,727,98,263,334,189,96,201,36,316,784,221,281,548,294,118,183,259,231,278,304,53,341,579,815,289,543,21,0,1,254,306,169,322,92,314,349,392,136,156,90,218,322,298,806,550
L03F6135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
L03F6136,0,0,1,7,3,1,0,0,0,5,11,7,7,14,1,2,3,4,3,4,0,6,28,1,4,9,5,1,3,5,3,1,3,0,6,4,14,6,12,0,0,0,20,5,2,12,1,5,3,4,0,0,1,3,1,1,9,5
L03F6137,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,2,1
L03F6138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L03F6139,0,0,0,2,3,1,0,0,0,0,6,1,3,5,0,2,0,0,1,3,0,5,10,0,4,1,0,0,1,0,1,0,0,0,3,2,1,1,7,0,0,0,7,0,1,2,0,4,8,0,0,1,1,1,1,0,3,4
L03F6140,0,0,0,3,1,5,0,0,0,5,4,4,3,14,1,6,3,5,2,2,0,10,11,1,4,12,5,3,3,5,8,6,6,3,4,11,23,3,15,0,0,0,10,7,1,3,0,2,4,0,0,2,0,1,0,1,4,3
L03F6141,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
L03F6142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
L03F6143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L03F6145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
L03F6146,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L03F6147,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6148,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6149,0,0,0,2,0,1,0,0,0,2,0,1,0,8,2,2,3,1,3,0,1,2,7,6,2,6,2,3,1,1,3,1,3,0,0,6,4,0,1,0,0,0,1,3,1,0,1,2,1,0,0,2,3,3,4,4,13,12
L03F6150,1,0,0,19,3,5,0,0,0,9,6,13,6,27,5,8,15,15,12,11,7,21,57,17,23,70,34,15,3,13,16,32,13,2,3,37,18,10,18,0,0,0,7,5,8,7,1,14,21,22,12,12,9,20,33,29,62,54
L03F6151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
L03F6152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L03F6153,0,0,1,47,12,16,0,0,0,27,32,11,13,53,14,30,38,12,11,18,4,16,92,24,30,18,17,7,33,15,21,25,14,3,40,49,119,82,169,0,0,0,93,55,45,51,19,37,49,87,32,18,25,24,68,38,118,75
L03F6154,1,0,4,62,17,14,0,1,0,20,48,19,22,41,20,27,34,21,10,44,3,27,117,26,40,46,15,9,27,13,19,23,23,5,31,35,42,81,111,0,1,0,78,71,31,56,14,78,106,95,46,37,25,60,66,67,187,89
L03F6155,0,0,4,3666,776,892,14,19,17,1388,1797,1411,1508,4444,807,1328,2098,1372,1139,2087,318,1828,5975,2264,2814,2840,1469,643,1635,1259,1621,1800,1535,324,2186,3303,6274,3305,6136,93,6,10,3728,2384,2105,2473,1087,4065,4227,5182,2344,1658,1460,3015,3644,3488,11688,6626
L03F6156,0,0,3,543,107,123,5,0,2,313,341,335,325,956,192,234,224,306,238,473,84,364,1164,411,558,601,271,120,196,271,319,336,296,62,279,665,488,347,523,18,0,1,352,286,300,382,165,522,527,620,348,267,210,544,418,438,2022,1111
L03F6157,0,0,2,79,11,16,0,0,0,33,36,31,35,95,17,43,40,44,36,59,13,50,196,76,98,103,47,17,21,39,50,59,49,9,36,90,73,66,120,4,0,0,47,37,27,60,16,131,132,141,48,38,33,74,81,82,345,185
L03F6158,0,0,1,27,5,8,0,0,0,15,19,9,3,18,8,8,29,6,1,16,1,16,47,5,16,14,10,5,8,8,9,7,12,0,12,24,32,17,58,2,0,0,46,17,14,20,7,36,31,50,16,8,8,9,18,19,46,22
L03F6159,0,0,0,11,1,3,0,0,0,3,3,5,2,5,11,10,6,3,3,3,0,4,10,6,6,13,9,5,0,5,3,5,1,0,2,5,10,31,35,1,0,1,9,30,7,19,9,27,27,35,11,2,0,6,16,15,31,17
L03F6160,0,0,0,9,5,3,0,0,0,1,2,5,8,18,7,19,13,7,5,5,2,1,12,2,5,18,15,7,0,6,4,2,4,1,3,3,14,24,37,0,0,0,13,18,20,7,4,32,36,36,4,1,5,11,8,5,31,17
L03F6161,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,1,3,0,7,0,0,0,2,1,2,1,2,2,3,0,0,0,1,0,0,2,1,2
