,CTRL_0_R1,CTRL_0_R2,CTRL_0_R3,PT1_0_R1,PT1_0_R2,PT1_0_R3,PT1_9.6_R1,PT1_9.6_R2,PT1_9.6_R3,PT1_9.6_R4,PT1_15.4_R1,PT1_15.4_R2,PT1_15.4_R3,PT1_15.4_R4,PT2_0_R1,PT2_0_R2,PT2_0_R3,PT2_9.6_R1,PT2_9.6_R2,PT2_9.6_R3,PT2_9.6_R4,PT2_15.4_R1,PT2_15.4_R2,PT2_15.4_R3,PT2_15.4_R4,PT3_0_R1,PT3_0_R2,PT3_0_R3,PT3_9.6_R1,PT3_9.6_R2,PT3_9.6_R3,PT3_9.6_R4,PT3_15.4_R1,PT3_15.4_R2,PT3_15.4_R3,PT3_15.4_R4,PT4_0_R1,PT4_0_R2,PT4_0_R3,PT4_9.6_R1,PT4_9.6_R2,PT4_9.6_R3,PT4_9.6_R4,PT4_15.4_R1,PT4_15.4_R2,PT4_15.4_R3,PT4_15.4_R4,PT5_0_R1,PT5_0_R2,PT5_0_R3,PT5_9.6_R1,PT5_9.6_R2,PT5_9.6_R3,PT5_9.6_R4,PT5_15.4_R1,PT5_15.4_R2,PT5_15.4_R3,PT5_15.4_R4
L03F6162,0,0,0,24,11,18,0,0,0,7,9,7,4,11,1,9,8,12,33,232,329,23,387,52,66,2,0,0,5,2,5,6,62,1,16,24,17,7,30,3,0,0,22,8,20,20,26,47,32,71,85,29,7,192,34,41,399,666
L03F6163,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,1,1,0,0,0,0,0,1,0,1,0
L03F6164,0,0,0,42,10,13,1,0,0,12,24,12,17,32,11,7,26,21,9,23,1,24,140,28,31,32,20,10,43,13,25,22,17,3,61,36,116,46,99,0,0,0,55,34,36,43,24,55,52,69,45,22,19,40,62,45,162,79
L03F6165,0,0,0,28,11,3,0,0,0,3,4,4,6,7,10,13,8,2,3,16,12,3,16,6,14,25,12,3,0,2,3,6,8,1,2,9,13,25,32,0,0,0,11,16,14,4,5,19,20,24,5,4,3,9,18,9,27,27
L03F6166,0,0,0,13,2,5,0,0,0,5,7,29,4,13,6,10,27,4,4,17,25,7,43,24,16,4,5,4,3,8,5,4,10,0,13,5,49,17,11,0,0,0,8,10,15,4,10,10,17,21,4,7,4,6,8,12,37,38
L03F6167,0,0,0,4,1,0,0,0,0,1,1,0,2,3,1,0,0,1,3,0,0,2,5,8,2,2,0,0,0,2,1,0,1,0,1,2,1,0,0,0,0,0,1,2,3,5,3,2,2,1,0,1,0,1,2,8,2,7
L03F6168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L03F6169,0,0,1,65,16,12,0,0,0,22,32,24,16,68,29,56,58,69,60,84,10,76,272,68,109,154,70,36,26,56,71,71,58,10,48,137,84,410,136,4,0,0,101,278,108,119,75,206,215,354,107,73,79,131,180,191,472,267
L03F6170,1,0,0,43,8,8,0,0,0,15,19,15,20,59,11,14,34,30,22,47,8,31,163,52,62,36,22,9,22,21,30,43,30,3,46,84,72,184,74,2,0,0,85,121,95,111,33,89,86,158,68,31,32,61,81,88,208,151
L03F6171,0,0,2,3,1,2,0,0,0,3,9,5,5,4,1,3,4,11,9,10,1,7,57,9,12,9,3,1,3,8,6,8,8,0,2,12,8,111,33,0,0,0,54,70,30,31,11,24,26,79,22,6,17,10,25,17,55,26
L03F6172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
L03F6173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
L03F6174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0
L03F6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,5,5,0,2,1,1,0,3,0,3
L03F6176,0,0,0,8,1,4,0,0,0,1,0,1,2,5,1,11,22,3,2,2,0,4,4,3,2,9,2,2,9,1,4,1,1,0,5,3,28,7,3,0,0,0,2,4,2,1,0,14,20,28,2,4,6,7,4,4,22,11
L03F6177,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,3,2,1,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,4,9,2,1,0,0,0,0,3,2
L03F6178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,2,1
L03F6179,0,0,0,9,2,4,0,0,0,1,2,1,2,4,4,6,6,3,2,0,0,1,4,1,2,3,1,1,5,3,4,2,10,0,2,8,21,6,2,0,0,0,0,4,1,0,1,7,10,20,4,5,6,6,5,7,14,4
L03F6180,0,0,0,3,3,0,0,0,0,0,2,5,4,2,1,6,4,1,2,0,0,4,10,0,2,1,2,1,4,4,4,3,2,0,6,4,17,6,1,0,0,0,0,5,2,0,0,7,12,17,1,5,7,5,3,3,17,10
L03F6181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
L03F6182,0,0,0,17,4,2,0,0,0,7,3,3,3,7,3,17,24,1,1,2,1,7,15,1,7,6,1,3,4,6,3,4,4,0,14,8,45,5,5,0,0,0,1,6,4,1,0,19,21,47,7,2,8,5,8,8,32,18
L03F6183,0,0,0,45,11,22,0,0,0,9,4,8,5,7,8,46,42,8,2,3,0,6,21,3,7,18,15,8,9,7,10,6,22,1,22,30,93,24,19,1,0,0,4,11,6,1,0,31,41,66,5,18,14,15,23,19,55,28
L03F6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L03F6185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
L03F6186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
L03F6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6188,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,3,1,3,1,0,0,0,0,0,1,1,0,0,3,2,3,0,1,1,2,0,1,5,0
L03F6189,0,0,0,4,0,1,0,0,0,0,3,0,0,2,0,1,7,2,0,2,0,3,0,3,0,1,1,1,2,0,5,4,2,2,1,1,9,3,0,0,0,0,0,1,1,2,0,5,3,9,1,2,1,0,0,0,2,1
L03F6190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L03F6192,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
L03F6193,0,0,0,5,3,2,0,0,0,0,2,0,0,0,1,6,3,0,0,1,0,0,0,2,0,2,1,0,1,2,1,1,1,0,0,0,4,1,2,0,0,0,0,3,0,0,0,9,7,9,1,1,6,1,3,4,7,5
L03F6194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,4,2,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,4,1,1,1
L03F6195,0,0,0,3,1,0,0,0,0,1,1,2,0,2,1,8,4,2,0,2,0,3,1,2,1,0,1,1,4,2,2,2,4,0,8,0,17,4,1,2,0,0,2,2,1,0,0,9,6,13,2,0,8,0,3,1,14,4
L03F6196,1,0,0,894,197,189,1,2,2,326,367,345,349,1094,227,335,510,267,234,377,90,375,1240,434,536,604,323,132,358,230,369,383,318,59,525,705,1484,781,1660,20,0,0,753,577,448,627,268,1023,1026,1353,408,365,408,664,729,742,2663,1463
L03F6197,0,0,0,229,38,36,3,2,1,103,86,130,87,226,42,93,77,78,44,107,17,116,368,114,120,187,108,40,76,80,106,129,111,19,118,229,286,113,243,2,0,0,138,113,80,116,41,153,143,166,79,45,41,109,116,98,432,273
L03F6198,0,0,0,22,6,4,0,0,0,3,2,4,1,2,1,11,13,2,0,1,1,2,11,2,3,7,6,6,5,2,3,5,2,1,8,7,36,6,6,0,0,0,8,5,3,0,0,11,18,21,3,6,11,5,9,6,21,13
L03F6199,0,0,0,3,2,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,2,0,5,2,1,0,0,0,0,2,0,0,0,1,5,6,0,0,0,2,1,1,2,5
L03F6200,0,0,0,5,1,0,0,0,0,1,0,1,1,0,0,5,3,0,0,0,0,2,6,5,0,2,3,0,1,0,1,2,3,1,3,2,14,3,0,0,0,0,0,1,0,0,0,3,10,20,2,0,4,3,5,3,18,7
L03F6201,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L03F6202,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
L03F6203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
L03F6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0
L03F6205,0,0,0,7,4,1,0,0,0,0,2,1,1,7,0,9,0,1,1,0,0,0,3,5,2,2,0,0,3,1,0,0,1,1,5,3,5,2,1,0,0,1,4,7,8,2,5,3,4,5,1,0,2,2,4,8,11,6
L03F6206,0,0,2,16,1,1,0,0,0,7,5,5,3,16,4,5,6,8,5,9,3,9,26,8,9,25,7,9,2,6,3,13,7,2,3,13,12,3,7,0,0,0,3,7,1,4,1,15,18,9,6,3,4,7,13,11,39,19
L03F6207,0,0,3,611,122,152,5,4,2,315,443,381,324,1162,152,283,360,265,220,358,74,380,1345,516,510,732,379,177,278,309,348,418,402,57,381,821,798,413,726,29,2,2,473,331,275,360,192,695,750,845,396,348,258,616,719,667,2452,1417
L03F6208,0,0,0,77,12,18,0,0,0,36,43,47,41,163,32,43,46,35,18,55,8,48,134,58,59,109,54,20,34,44,53,43,34,9,54,119,95,43,63,2,0,0,35,31,35,32,25,79,106,101,43,45,29,66,102,112,244,171
L03F6209,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,2,1,1,0,1,2,3,1,4,0,0,0,1,0,3,1,0,2,1,0,0,0,0,0,0,1,0,2,1,0,7,7,3,1,0,0,3,5,10,7,3
L03F6210,0,0,0,1,1,2,0,0,0,0,0,32,2,2,0,1,1,0,1,0,0,1,0,3,1,0,0,0,0,0,9,5,3,0,3,5,0,2,1,0,0,0,0,5,6,2,5,4,2,9,8,1,7,30,6,5,22,9
L03F6211,0,0,0,56,17,20,0,3,0,12,74,9,7,60,26,43,42,7,14,59,57,26,109,43,33,15,5,4,12,9,10,18,30,5,31,44,63,22,61,5,0,0,20,32,51,45,31,23,20,26,17,10,11,114,21,43,115,399
L03F6212,0,0,0,56,23,9,0,0,0,2,1,1,2,8,4,2,3,0,0,1,0,0,0,0,1,2,2,3,1,1,2,2,1,0,1,1,38,3,24,0,0,0,14,4,3,16,4,0,2,7,0,1,1,0,0,2,1,2
L03F6213,0,0,0,210,46,38,0,0,2,28,15,62,30,96,16,54,62,9,4,7,1,21,33,7,5,88,45,17,12,14,24,26,16,5,11,29,275,37,172,2,0,0,65,58,33,51,32,20,39,53,20,11,16,64,33,43,61,43
L03F6214,0,0,0,19,3,4,0,0,0,0,1,0,4,6,1,1,3,0,0,0,0,1,0,0,1,5,1,1,1,1,1,1,1,0,0,1,20,3,12,0,0,0,2,3,0,7,5,0,0,5,0,0,0,0,0,1,1,0
L03F6215,0,0,4,7,0,0,0,0,0,4,2,4,5,16,2,1,3,2,0,5,2,1,7,5,7,4,3,3,0,5,3,4,2,1,1,3,7,3,5,0,0,0,20,4,1,17,6,4,6,12,4,3,1,1,6,1,15,10
L03F6216,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1
L03F6217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6219,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,1,1
L03F6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6222,0,0,0,2,2,0,0,0,0,2,1,0,0,8,0,0,0,1,1,0,0,0,6,1,1,11,5,1,1,4,1,3,1,1,2,5,0,1,2,0,0,0,3,1,0,8,2,3,3,1,0,0,0,1,1,1,3,3
L03F6223,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6224,0,0,0,7,3,4,0,1,0,7,10,8,3,12,1,2,5,8,8,29,3,11,47,11,17,32,10,1,10,11,6,14,8,2,5,28,5,6,10,0,0,0,7,1,6,9,1,28,32,30,16,9,9,26,24,15,48,41
L03F6225,0,0,0,5,1,2,0,0,0,3,3,2,3,5,2,1,2,3,6,9,0,7,14,4,15,13,4,4,3,2,9,5,2,0,5,8,2,8,8,0,0,0,14,0,3,11,3,10,11,20,3,4,7,3,11,7,24,14
L03F6226,0,0,0,2,0,1,0,0,0,1,2,3,3,6,2,0,3,2,0,0,1,0,5,2,1,12,2,0,0,0,0,2,2,0,1,0,1,9,9,0,0,0,1,5,3,4,0,4,5,13,2,3,0,1,4,4,17,4
L03F6227,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1
L03F6228,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,0,0,3,8,2,0,3,0,0,1,1,0,0,0,0,0,0,0
L03F6229,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
L03F6230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
L03F6233,0,0,0,16,6,7,0,1,0,10,7,5,10,19,10,9,11,13,4,9,3,12,53,7,11,19,12,10,17,11,5,6,7,1,29,11,57,33,86,2,0,0,54,24,29,25,10,30,27,24,18,12,5,7,15,10,43,26
L03F6234,0,0,0,10,1,3,0,0,0,0,1,3,3,5,3,3,3,1,1,3,0,1,13,3,6,12,6,5,8,0,3,3,2,0,10,1,21,11,37,0,0,0,18,7,8,2,2,8,7,9,9,2,3,4,3,1,7,6
L03F6235,0,0,0,4,0,0,0,0,0,0,1,0,1,3,0,1,1,1,0,4,0,1,6,1,3,1,2,0,4,2,2,3,1,0,5,0,8,2,18,0,0,0,13,1,1,4,0,3,3,5,2,2,0,1,3,1,6,2
L03F6236,0,0,1,85,29,37,0,0,0,19,38,11,19,60,49,29,29,16,4,14,4,30,131,17,30,104,44,32,47,16,30,28,21,1,71,34,238,63,419,6,1,0,194,69,45,62,24,79,78,101,50,18,16,40,45,27,197,73
L03F6237,0,0,1,23,8,8,0,0,0,0,9,2,5,11,9,11,7,2,0,5,1,4,27,3,4,25,8,6,7,4,6,5,4,3,14,10,69,13,78,0,0,0,44,14,2,9,2,21,16,25,9,7,3,7,4,5,46,20
L03F6238,0,0,0,29,9,11,0,0,0,6,9,7,4,9,14,11,11,4,3,6,1,7,44,5,6,24,8,17,15,2,0,3,7,0,16,8,72,15,95,1,0,0,49,11,12,12,2,20,26,41,8,6,3,9,11,6,54,22
L03F6239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6240,0,0,0,27,15,12,0,0,0,6,10,7,6,15,17,13,12,9,2,6,1,3,56,5,8,46,23,10,14,4,7,8,6,0,26,8,94,18,103,5,0,0,49,20,20,18,8,29,18,29,22,6,7,10,7,8,76,31
L03F6241,0,0,1,3,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,1,13,1,1,2,2,1,3,1,4,1,0,0,5,0,9,1,21,0,0,0,14,1,2,1,2,1,3,4,4,0,1,0,0,1,6,4
L03F6242,0,0,0,10,6,3,0,0,0,4,11,9,3,17,4,0,8,2,2,2,1,3,28,2,12,23,8,10,8,2,0,6,8,0,24,12,64,5,108,2,0,0,36,7,7,15,5,17,14,17,8,9,1,11,11,10,44,18
L03F6243,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,1,1,0,1,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,6,0,3,2,0,2,0,0,16,9
L03F6244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0
L03F6245,0,0,0,8,2,2,0,0,0,0,3,1,0,7,0,0,3,0,0,0,0,0,5,0,1,0,1,0,4,2,0,0,0,1,2,3,27,1,73,0,0,0,14,1,8,4,5,2,2,0,1,0,0,0,1,2,4,2
L03F6246,0,0,0,1,0,0,0,0,0,1,7,1,1,6,0,0,5,0,0,0,1,1,4,1,4,0,0,0,9,1,0,2,0,0,13,2,10,1,45,2,0,0,14,4,1,1,1,2,0,0,0,0,0,0,1,0,3,2
L03F6247,0,0,0,11,2,0,0,0,0,1,5,3,2,3,0,0,2,2,0,1,0,0,14,0,1,6,4,2,1,1,1,0,0,1,7,5,8,1,16,0,0,0,3,4,4,1,2,3,1,1,1,1,0,1,0,0,6,1
L03F6248,0,0,0,21,4,5,0,0,0,13,32,16,10,25,2,3,6,1,1,5,1,9,21,5,11,13,7,0,9,8,4,3,6,0,25,10,29,11,55,3,0,0,19,11,12,4,5,7,10,5,3,1,1,6,10,6,14,15
L03F6249,0,0,0,2,0,1,0,0,0,0,5,1,0,5,0,3,0,0,0,0,0,0,3,1,6,0,1,0,6,0,0,0,0,0,4,1,4,2,9,0,0,0,2,2,0,1,1,2,3,0,0,0,1,0,0,1,3,2
L03F6250,0,0,0,3,0,0,0,0,0,0,4,1,1,4,0,0,0,1,0,2,0,0,6,0,2,3,1,1,2,0,0,1,2,0,2,0,4,1,8,0,0,0,4,2,1,3,2,0,0,0,0,0,0,1,1,0,0,0
L03F6251,0,0,0,13,6,0,0,0,0,4,16,5,6,13,1,7,11,2,0,1,2,1,10,3,4,11,2,2,3,0,2,0,4,1,8,5,12,4,31,0,0,0,12,5,3,2,0,1,2,4,1,0,0,1,0,3,5,5
L03F6252,0,0,0,2,0,0,0,0,0,1,2,2,1,2,1,0,1,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
L03F6253,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L03F6254,0,0,0,14,4,2,0,0,0,6,14,3,3,17,3,5,2,1,3,2,0,2,17,5,5,8,3,1,2,1,2,2,1,1,6,6,9,2,35,0,0,0,8,3,1,1,1,5,6,1,1,0,3,5,1,4,5,3
L03F6255,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,2,1,0,0,2,0,0,1,0,0,0,1,2,1,4,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
L03F6256,0,0,0,12,4,4,0,0,0,11,18,7,7,20,3,7,5,5,5,2,2,3,16,10,10,14,1,2,8,1,2,1,3,0,22,10,15,6,45,0,0,0,20,4,6,14,3,6,9,4,0,2,0,3,6,3,9,7
L03F6257,0,0,0,4,0,3,1,0,0,6,10,8,2,14,0,7,4,0,0,2,2,1,12,0,5,9,1,1,4,3,0,0,1,1,12,2,16,2,28,0,0,0,13,4,4,5,1,2,2,0,1,1,1,3,2,2,4,1
L03F6258,0,0,0,2,2,0,0,0,0,4,5,3,1,4,1,1,2,1,0,1,0,0,5,1,0,4,0,0,4,0,2,0,0,0,1,2,9,3,32,0,0,0,4,1,0,3,0,1,0,2,2,0,0,0,2,1,3,1
L03F6259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
L03F6260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,1,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
