"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"L03F6075",0.620201618068887,3.34997514327021,2.06485511942413,1.6223778180643,0.104722475702276,0.569258539082372
"L03F6076",91.1464948019184,0.140803090038888,0.305552925982716,0.460814078562785,0.6449320001757,1
"L03F6077",2.83465807364218,1.78397113761297,1.18138449324136,1.51006818509891,0.131026026561278,0.649505774161923
"L03F6078",29.964350489624,0.572265133567595,0.686374683873888,0.833750350956623,0.404421678343444,1
"L03F6079",23.7761979655437,6.75086393934544,1.27173961324865,5.30836962929889,1.10610157710568e-07,3.10814543166696e-05
"L03F6080",0.0126096019526803,0,8.30006731900928,0,1,1
"L03F6081",0.0598289343445374,4.23902128405888,8.27985326556784,0.511968165146965,0.608673289947128,1
"L03F6082",14.8963473568135,-0.0863758302487094,0.740533380134899,-0.116640022672543,0.907145320667553,1
"L03F6083",7.30932339549917,0.732256827444892,0.85899585227721,0.852456767403089,0.39396062437125,1
"L03F6084",3.74695020004084,2.2221573893975,1.13882338678302,1.95127481151815,0.0510243637500322,0.558535447883535
"L03F6085",15.6380983628696,-0.955416267076129,1.20444151666262,-0.793244216392911,0.427635550599427,1
"L03F6086",1.31424647534424,0.604450203471335,1.65591260091107,0.365025426546529,0.715092426255911,1
"L03F6087",190.567889425436,0.472648408945592,0.685267878796724,0.689727949565541,0.490365285942679,1
"L03F6088",0.108775057811797,0,8.30006027615242,0,1,1
"L03F6089",130.596779378784,0.169953779617272,0.322513986583077,0.52696560982633,0.598217470453053,1
"L03F6090",63.4253986936977,-0.202130126633951,0.463654932821888,-0.435949479505697,0.662873384603554,1
"L03F6091",0.674545220093488,4.72700375657287,1.83008756680797,2.58293856660515,0.00979627650074278,0.558535447883535
"L03F6092",2.13593497742771,1.39562620315405,1.1773904382631,1.18535547580367,0.23587692790929,0.75674028905392
"L03F6093",0.728519678215106,3.77391835705312,2.33504262346523,1.61620962252611,0.106048999029983,0.569258539082372
"L03F6094",0.262593676086015,4.67786468312056,3.52403043575872,1.32741892228108,0.184370143704502,0.705683170370336
"L03F6095",0.241023475568918,5.22279014152619,4.89752951245486,1.06641320450324,0.286236895230423,0.846658605892092
"L03F6096",185.02212215736,0.571146047065487,0.339663820613713,1.68150392359577,0.0926650749790594,0.569258539082372
"L03F6097",0.0152171153062839,0,8.30006658806366,0,1,1
"L03F6098",118.922407827521,-0.250855254668824,0.437934777844535,-0.572814189143655,0.566770510746836,1
"L03F6099",0.63342784799259,2.29609277264019,1.75190431979435,1.31062681146292,0.189983876381263,0.705683170370336
"L03F6100",0.0546009046805134,5.29274280914228,8.28801997166564,0.638601599324887,0.523082140616722,1
"L03F6101",3.00587244379333,0.751675447824733,1.01223546781004,0.742589517685025,0.457730236752212,1
"L03F6102",17.3216602538056,0.36723073673154,0.594656316084021,0.617551225470633,0.536871204391033,1
"L03F6103",3.29560366823982,0.192224122742993,1.01417621754817,0.189537202132097,0.849671800398489,1
"L03F6104",3.65756148988512,1.72086192516106,1.19630796834969,1.43847735757791,0.150298657407101,0.681192302119282
"L03F6105",0.0255531339281189,0,8.30006604690783,0,1,1
"L03F6106",26.966758525713,-0.34777009212663,0.613797215080193,-0.566587927710284,0.570994178853464,1
"L03F6107",17.4269226908661,-0.0485981028486308,0.665097931746713,-0.0730690933303612,0.941751135843705,1
"L03F6108",0.00764300716804234,0,8.30006731900928,0,1,1
"L03F6109",3.03025548776431,1.26370015264494,1.28617863663677,0.982523046681441,0.325842234682284,0.934302734140017
"L03F6110",0.003793630537578,0,8.30006765541818,0,1,1
"L03F6111",560.874818936258,-0.310399129405997,0.159479422622358,-1.94632714554662,0.0516154548184166,0.558535447883535
"L03F6112",13.9112214453026,-0.0311361307077696,0.684741869020108,-0.0454713405393577,0.963731618198252,1
"L03F6113",0.0265730511258753,0,8.30006524398411,0,1,1
"L03F6114",0.0892169840709531,0,8.30005902593832,0,1,1
"L03F6115",0.0333124730983202,0,8.30006564850394,0,1,1
"L03F6116",4.28211858070293,2.6664886276241,1.38015262617505,1.93202445660955,0.053356487337475,0.558535447883535
"L03F6117",0.177630639281189,3.05545926481018,5.02449988024619,0.608112118147859,0.543113115560533,1
"L03F6118",0.46726913775243,2.07238980299578,2.31157019199762,0.896529039079214,0.369970278103007,1
"L03F6119",7.06470613814913,0.715978451303931,0.739063416462449,0.968764567905398,0.332662668781643,0.94422434270345
"L03F6120",0.100514870734525,5.25840097472043,8.28803141521827,0.6344571721899,0.525782508359978,1
"L03F6121",1.39674743065663,3.39444885833548,2.02507840776163,1.67620613864895,0.0936978222088325,0.569258539082372
"L03F6122",0.894450077793838,4.099984474271,1.87560610847771,2.18595176020122,0.028819134798246,0.558535447883535
"L03F6123",4.82224826655671,-0.367053770942069,1.01565107979665,-0.36139750967976,0.717802309372793,1
"L03F6124",9.31438120556646,0.360351124842888,0.859142466563869,0.419431164058399,0.674901052390306,1
"L03F6125",2.443000989343,0.370683922651088,1.00428568488938,0.369102067497773,0.712051647950811,1
"L03F6126",1.07390005511089,1.20420121851604,1.3118187526673,0.917963107378634,0.358638180727365,1
"L03F6127",3.60263489495732,0.523408274192913,1.04721375195754,0.499810352198406,0.617208620613091,1
"L03F6128",0.0355843969621267,0,8.3000652881422,0,1,1
"L03F6129",21.6583189315097,-0.952540649632429,0.77318845365294,-1.23196440031164,0.217962382676448,0.729136065858119
"L03F6130",0.104585197218456,4.84160741919244,8.00861944279645,0.604549567347384,0.545478324992554,1
"L03F6131",23.2505808926022,0.380116346063769,0.759261039193815,0.50063986750509,0.616624599223623,1
"L03F6132",19.8071730588802,-1.43041545107976,0.768003471664016,-1.86251169930328,0.062530997920679,0.558535447883535
"L03F6133",47.1721310348185,0.274049359675485,0.476054165068432,0.575668442342251,0.564839309711049,1
"L03F6134",151.846637061785,0.632197912952618,0.289341062939574,2.18495745653857,0.0288919660784399,0.558535447883535
"L03F6135",0.140615841089767,0,8.30005728454323,0,1,1
"L03F6136",2.18834872753936,1.55879004110792,1.15763245511423,1.34653277404365,0.17813075807437,0.705683170370336
"L03F6137",0.190043213008094,4.77617322830599,4.27649135723072,1.11684388657314,0.264061080520009,0.822398890612741
"L03F6138",0.0365427325715643,0,8.3000641755523,0,1,1
"L03F6139",0.822712184755888,1.91380213287728,1.72787507171168,1.10760445833703,0.26803267715984,0.822398890612741
"L03F6140",2.31052377758311,1.51937950163519,1.22620295725107,1.23909300059214,0.215311058833987,0.728944669064462
"L03F6141",0.177705029783738,6.07236276061352,4.69821125076876,1.29248397666663,0.19618959143157,0.705683170370336
"L03F6142",0.0338088442837129,0,8.30006263170019,0,1,1
"L03F6143",0.0247372451796341,4.64817893677308,8.28247726449128,0.561206362340504,0.574656866186708,1
"L03F6144",0.05193672175538,4.64804854771672,8.28247630634667,0.561190684500363,0.574667552726811,1
"L03F6145",0.0390393266779802,0,8.30006571916722,0,1,1
"L03F6146",0.0832765641481509,3.57519768436929,8.26559084799177,0.432539881312651,0.665349072970665,1
"L03F6147",0.0174709476248054,0,8.30006648207171,0,1,1
"L03F6148",0.27050918274392,1.85408809177353,8.2314599090414,0.225244138009712,0.82178935437267,1
"L03F6149",1.13791678110382,3.38744790887775,1.56468721040773,2.16493615231574,0.030392575141345,0.558535447883535
"L03F6150",8.16234358967942,0.566748177039084,0.813138869740194,0.696988175242644,0.485810193984432,1
"L03F6151",0.112678492692424,0,8.30005718777138,0,1,1
"L03F6152",0.0551620942610039,0,8.30006231891002,0,1,1
"L03F6153",16.2764287267666,-0.0438432098164063,0.78071780019609,-0.0561575639820103,0.955216286819659,1
"L03F6154",22.1706847962471,-0.303297259546913,0.608232541192951,-0.498653457363599,0.61802353836191,1
"L03F6155",1246.47780744422,-0.0497038963743858,0.163656098307266,-0.303709405811852,0.761349291496684,1
"L03F6156",201.026610940174,0.448653782596939,0.251598541972575,1.78321296729074,0.0745516424036627,0.569258539082372
"L03F6157",28.3377131444622,0.101878622603265,0.524683315941445,0.194171645081687,0.846041484264393,1
"L03F6158",7.50551703696553,0.462590809528759,0.815557230182225,0.567208274795626,0.570572686749392,1
"L03F6159",6.50276809266958,0.921565236437141,1.06731954901168,0.863438917885926,0.38789618960451,1
"L03F6160",4.62079902485641,-0.070808023862269,0.997963258907818,-0.0709525358075428,0.943435531168719,1
"L03F6161",0.394090452967106,0,3.00108299268729,0,1,1
"L03F6162",40.6414698049029,-0.80293240855847,1.15329746671573,-0.696205820034444,0.486299943375522,1
"L03F6163",0.186887072872947,4.8529358366481,5.69516919130635,0.852114427795418,0.394150584941444,1
"L03F6164",16.8438694256489,-0.226110970755815,0.775118603123889,-0.291711448860266,0.770507254853487,1
"L03F6165",5.29781525368018,-0.686437245578339,1.01991879654914,-0.673031272588443,0.50092739578018,1
"L03F6166",6.66356327194895,0.747105488757767,1.13322947229029,0.659271142364347,0.50972166988542,1
"L03F6167",0.793138649281693,2.8848200626201,1.63447420445932,1.7649835370601,0.0775665325990132,0.569258539082372
"L03F6168",0.0126342091741386,0,8.30006565510373,0,1,1
"L03F6169",47.3879904901631,-0.3204287928986,0.720725180007598,-0.444592199339035,0.656614485791166,1
"L03F6170",24.238079209374,-0.0231001111179116,0.724644379453296,-0.0318778586750916,0.974569455882093,1
"L03F6171",7.18327404772232,2.05453180488788,1.21893812392241,1.68550951403229,0.0918903107899704,0.569258539082372
"L03F6172",0.101007314984948,4.64774338161387,8.28247406417705,0.561153991621424,0.574692564187633,1
"L03F6173",0.00748594400140221,0,8.30006658013764,0,1,1
"L03F6174",0.085468976342876,4.64772274397697,8.28247391233361,0.561151510185374,0.574694255660871,1
"L03F6175",0.238422644304736,0,5.3662163985984,0,1,1
"L03F6176",2.33809123809401,0.736446861208065,1.15522159700129,0.637494021164187,0.523803103161103,1
"L03F6177",0.380396831125967,3.790867696217,2.6602996871607,1.42497768748112,0.154163650973983,0.681578983809118
"L03F6178",0.192623392414745,4.64657105852258,6.20469338020031,0.748880045120388,0.453929508652394,1
"L03F6179",1.9611614435351,0.431431388727438,1.1093347346663,0.388910015386128,0.697342713078487,1
"L03F6180",1.69050079400737,1.73021491325172,1.35281485323973,1.27897391805551,0.200906240674829,0.705683170370336
"L03F6181",0.0380848672618976,0,8.3000637694011,0,1,1
"L03F6182",3.40685291147292,0.8293668784214,1.05331127736926,0.787390106078437,0.431053536761081,1
"L03F6183",7.95417182216159,-1.13344646990811,0.873832555725231,-1.29709801091974,0.194597465842232,0.705683170370336
"L03F6184",0.00731497876151042,0,8.30006638999066,0,1,1
"L03F6185",1.16712344300299,7.03464662787494,8.29978190595683,0.847570057572973,0.396677455598547,1
"L03F6186",0.126348473212273,0,8.30005713434733,0,1,1
"L03F6187",0.0126096019526803,0,8.30006731900928,0,1,1
"L03F6188",0.386217977095892,3.49279591738466,2.34504900327891,1.48943408538625,0.136373098489514,0.649505774161923
"L03F6189",0.947641524548779,3.02067923970377,1.8516417725239,1.63135185462272,0.102816097607504,0.569258539082372
"L03F6190",0.0110100279492281,0,8.30006731900928,0,1,1
"L03F6191",0.009313436696034,0,8.3000675868341,0,1,1
"L03F6192",0.082065605023266,4.64778964330618,8.28247440386227,0.561159554098813,0.574688772528201,1
"L03F6193",0.885817306207139,1.30257464834199,1.55791106772363,0.836103340767248,0.403096769131412,1
"L03F6194",0.253853522781908,0,4.41579711803063,0,1,1
"L03F6195",1.6797651591901,3.10520474074277,1.65406031090697,1.8773225621018,0.0604738977385239,0.558535447883535
"L03F6196",262.123828179579,-0.35231452965252,0.318900319087013,-1.10477948300952,0.269255152798478,0.822398890612741
"L03F6197",62.8512975490207,0.635514952333987,0.429891389029332,1.47831514785383,0.139323445040089,0.652498134271084
"L03F6198",2.97352022601822,-0.190331189624859,1.06474595722752,-0.178757372435075,0.858128217938344,1
"L03F6199",0.413977171526742,2.82853293932864,2.34339990580229,1.20702101776361,0.227424049839686,0.751837152999433
"L03F6200",1.05794422469391,2.74705923192846,1.66105987340589,1.65379904476039,0.0981683501345685,0.569258539082372
"L03F6201",0.0683773110142492,5.25852365224392,8.28803277794347,0.634471869638132,0.525772919424089,1
"L03F6202",0.136663267703631,4.22828640942135,5.96746791131297,0.708556203780414,0.478599922657826,1
"L03F6203",0.0174179217158012,0,8.30006532367473,0,1,1
"L03F6204",0.0383034774259717,0,8.30006450235453,0,1,1
"L03F6205",3.56891152701253,0.95450552616222,1.3754292341496,0.693969200641841,0.487701524175216,1
"L03F6206",3.86052900600552,1.2360396695641,0.915512320248554,1.35010708455406,0.176981636203404,0.705683170370336
"L03F6207",245.117785555018,0.31952476458938,0.171636672326043,1.86163458111334,0.0626546154411263,0.558535447883535
"L03F6208",26.6886911221403,0.150978376141933,0.534285263154247,0.282580086994363,0.777498746711115,1
"L03F6209",0.632750861175429,4.49124609742133,2.04427566487603,2.19698652906172,0.0280214082988185,0.558535447883535
"L03F6210",1.83041592762606,2.42978004336215,1.70957042430745,1.42128104745756,0.155235071045493,0.681578983809118
"L03F6211",24.0593109571808,0.468751065212462,0.984961722285025,0.475907900385205,0.634139993493476,1
"L03F6212",2.47895630664869,-1.6460935736334,1.245794680633,-1.32132011737038,0.186394648932842,0.705683170370336
"L03F6213",23.5550696911877,-1.17453848930367,0.72995809652054,-1.60904919734747,0.107605584500654,0.569258539082372
"L03F6214",1.01979600363674,0.452052726794486,1.60500548132549,0.281651827395107,0.778210495725872,1
"L03F6215",2.14710808627579,2.77944339355911,1.37856022318349,2.01619294305517,0.0437798040776177,0.558535447883535
"L03F6216",0.259913916157155,0,7.29421019364282,0,1,1
"L03F6217",0.085884564307216,0,8.30006598326876,0,1,1
"L03F6218",0.0103786117778069,0,8.30006745165992,0,1,1
"L03F6219",0.167177872290287,4.80879628488685,5.28858788966806,0.909277936796978,0.363203433749655,1
"L03F6220",0.0103786117778069,0,8.30006745165992,0,1,1
"L03F6221",0.0253381454232112,0,8.30006568141894,0,1,1
"L03F6222",0.898060446122428,2.86141563847466,1.64131050517886,1.74337252423961,0.0812685644676581,0.569258539082372
"L03F6223",0.0625573273566062,4.7148983497637,8.28245059674101,0.569263685269542,0.569177207316583,1
"L03F6224",6.77729392314197,1.43047606393517,0.881613136695838,1.62256663880531,0.104682076958555,0.569258539082372
"L03F6225",2.70941949990631,1.7460573405307,1.17087828636316,1.49123727108656,0.135899211531071,0.649505774161923
"L03F6226",1.11370544283954,3.34178046139193,1.62666724139362,2.05437250862009,0.0399396517523128,0.558535447883535
"L03F6227",0.217885780271018,5.21555588271262,4.61821349559,1.12934490527409,0.258752364642563,0.816959713084945
"L03F6228",0.316413641144971,3.93905758477256,4.91615315350981,0.801247939552154,0.422988123062648,1
"L03F6229",0.200869311663151,6.08799083289923,5.58245613631587,1.09055775526738,0.275467526695788,0.826399186042376
"L03F6230",0.00570844228396953,0,8.30006769137391,0,1,1
"L03F6231",0.0650864510581159,0,8.30006748570157,0,1,1
"L03F6232",0.0203805769166732,0,8.3000650507237,0,1,1
"L03F6233",9.38681274474606,0.664291008542803,0.823009505929432,0.807148646226891,0.419580848215187,1
"L03F6234",2.3669057087236,0.608181723953591,1.17634676179991,0.517008881822417,0.605149958703968,1
"L03F6235",0.92764486552718,3.24577950279589,1.63618665200567,1.98374647465627,0.0472841097836294,0.558535447883535
"L03F6236",27.2765390153247,-1.44880476110834,0.757601807577636,-1.91235652636675,0.055830480080197,0.558535447883535
"L03F6237",5.04146658615891,-1.37532898102598,1.0072924928131,-1.36537201541635,0.172136154851728,0.705683170370336
"L03F6238",6.50555951020523,-0.678903874252466,0.974214928256241,-0.696872789116098,0.485882408186049,1
"L03F6239",0.0302811301376768,0,8.30006450384043,0,1,1
"L03F6240",8.92868263981646,-1.05896874006912,0.895493555611989,-1.18255316683481,0.236986282693043,0.75674028905392
"L03F6241",0.913224981568412,3.21036253627909,1.87495064460363,1.71223842372542,0.0868527391394321,0.569258539082372
"L03F6242",5.23680488713256,0.394935355471679,1.0550416875387,0.374331517073057,0.708157686499825,1
"L03F6243",0.396610901594626,4.69859125750466,2.89736828954391,1.62167553032904,0.104872840844016,0.569258539082372
"L03F6244",0.0636769362400797,0,8.30006154929126,0,1,1
"L03F6245",1.32839141441586,1.49210783835652,1.73431814000429,0.860342634917504,0.389600197461036,1
"L03F6246",1.53122882727317,4.88719685740402,2.03013629782617,2.40732450458481,0.0160698836746187,0.558535447883535
"L03F6247",1.10044477797132,1.62621912486632,1.49422493071584,1.08833622799162,0.276446702804211,0.826399186042376
"L03F6248",4.91192261928004,0.820724772711417,0.953280821118513,0.86094753458738,0.389266939691971,1
"L03F6249",0.588076828506193,3.70607561901758,2.31496772410984,1.60091891581022,0.109394879396613,0.569258539082372
"L03F6250",0.535472345859143,4.07851612522443,2.1573141325813,1.89055273111494,0.0586840752186755,0.558535447883535
"L03F6251",2.15509196953268,0.85267796519261,1.25749230883503,0.67807807586716,0.497722190814348,1
"L03F6252",0.22827051388338,4.79233231304677,3.82900983405977,1.25158527158067,0.210721024154566,0.722104973017475
"L03F6253",0.109564555165229,4.84110066208236,7.93274336110549,0.610268155883934,0.541684187764947,1
"L03F6254",2.02269048379129,0.938940030345372,1.15545019332139,0.812618350641623,0.416436907067841,1
"L03F6255",0.237699849079899,5.15467002311936,2.9518058805095,1.74627676472737,0.0807628713335668,0.569258539082372
"L03F6256",3.4250147890659,1.14915680263005,1.13962309498883,1.00836566728346,0.313278948691728,0.907540047240985
"L03F6257",3.28305945636148,3.09375785160511,1.4213088657867,2.17669637196888,0.0295032291799341,0.558535447883535
"L03F6258",0.814564752283211,3.08176808657235,1.7823765271873,1.72902192076978,0.0838051718941362,0.569258539082372
"L03F6259",0.0490662401449476,0,8.30006193550192,0,1,1
"L03F6260",0.127593090719505,0,8.30005660163623,0,1,1
"L03F6261",0.53483553553167,4.27925528746557,2.30695657634987,1.85493534266532,0.0636054602571998,0.558535447883535
"L03F6262",0.45139347422096,0,2.83240951448238,0,1,1
"L03F6263",0.0699796977797336,0,8.30006089701291,0,1,1
"L03F6264",0.0114366377056203,0,8.30006658410309,0,1,1
"L03F6265",0.025223767694363,0,8.30006651552156,0,1,1
"L03F6266",0.0182087565543567,0,8.30006551282309,0,1,1
"L03F6267",0.109114239125686,0,8.30005863939523,0,1,1
"L03F6268",0.469733372806187,5.17771055639282,2.78089969437956,1.86188324838088,0.0626195487659852,0.558535447883535
"L03F6269",1.59692121765491,0.903775701280992,1.45980251289762,0.619108196688232,0.535845083901506,1
"L03F6270",0.755651853947167,1.57649509269708,2.8218168945328,0.558680861168386,0.576379543344409,1
"L03F6271",1.14139473578885,2.31260155340774,1.66078494614775,1.39247502138787,0.163778600486327,0.69729979904027
"L03F6272",0.500144337403776,4.89171414472051,2.17272994465198,2.25141378327349,0.0243593419524708,0.558535447883535
"L03F6273",0.419408084804677,5.14704270191892,3.30513008588557,1.55728899261762,0.119401887623141,0.610035098583685
"L03F6274",0.0250957760353587,0,8.30006376967827,0,1,1
"L03F6275",3.39762281890693,0.649151934161159,1.15519477299062,0.561941543832133,0.574155847511796,1
"L03F6276",0.429433885596147,4.69413227678962,2.4158561924107,1.94305120128261,0.0520099722524608,0.558535447883535
"L03F6277",250.276373435129,-0.0532203970681632,0.264851082394018,-0.200944608521506,0.840741886489571,1
"L03F6278",20.037774423042,-0.982235474149725,0.737274965054047,-1.33225122336511,0.182777649445058,0.705683170370336
"L03F6279",0.0320305905109809,4.64812984276303,8.28247690371401,0.561200459331039,0.574660889864318,1
"L03F6280",0.00974695316885785,0,8.30006658013766,0,1,1
"L03F6281",0.0414577758530543,4.64810052667329,8.28247668828014,0.5611969343965,0.574663292577339,1
"L03F6282",0.190026822337038,2.98593425718648,7.79196751071901,0.383206712948801,0.701566501036459,1
"L03F6283",0.00764300716804234,0,8.30006731900928,0,1,1
"L03F6284",0.00764300716804234,0,8.30006731900928,0,1,1
"L03F6285",0.0538947964724138,0,8.30006246065494,0,1,1
"L03F6286",7.62516517765857,1.36035812626622,1.04450424360237,1.30239597837775,0.19278105665708,0.705683170370336
"L03F6287",0.0196920484738409,0,8.3000666481686,0,1,1
"L03F6288",3.82252261170047,2.79671521474628,1.68846882151993,1.65636177529694,0.0976485771613042,0.569258539082372
"L03F6289",3.25691614200928,1.69421153831831,1.32101745349612,1.28250503718517,0.19966553907014,0.705683170370336
"L03F6290",1.68220970994314,2.3029098127471,1.72532489021858,1.33476878807177,0.181952031845156,0.705683170370336
"L03F6291",0.00758726107515599,0,8.3000672063784,0,1,1
"L03F6292",8.82816576648341,3.13175721229895,1.26969501014294,2.46654289989403,0.0136424385459917,0.558535447883535
"L03F6293",6.22949069522745,3.85166807788768,1.47192448420512,2.61675657903584,0.00887696207199743,0.558535447883535
"L03F6294",4.85354820308838,2.46206672785276,1.47870724712068,1.66501295820851,0.0959101705926191,0.569258539082372
"L03F6295",5.54089142369168,1.80698367579799,1.43668960084345,1.25774118134992,0.208485373723043,0.722104973017475
"L03F6296",0.635838355107658,4.70286397863453,3.26871803387026,1.43874874795064,0.150221722233421,0.681192302119282
"L03F6297",3.09572900075926,3.29221255419875,1.53533141267592,2.14430091576174,0.0320087834927128,0.558535447883535
"L03F6298",0.0320863097218066,0,8.30006571205179,0,1,1
"L03F6299",5.60211308066236,1.80346333184336,0.946489490584275,1.90542351477149,0.0567250409579593,0.558535447883535
"L03F6300",0.0594651625373123,0,8.30006537755125,0,1,1
"L03F6301",0.0985098485871433,0,8.30005868151552,0,1,1
"L03F6302",0.947024218525628,0,8.30005549280736,0,1,1
"L03F6303",8.80105763536518,1.17398569268891,0.839057196367556,1.39917242563597,0.161761283282337,0.69729979904027
"L03F6304",0.383451735918148,4.22950506071165,2.4848204267972,1.70213711023104,0.088729668673787,0.569258539082372
"L03F6305",3.60170766167716,0.588943379028762,1.02788206517917,0.572967852032815,0.566666461141739,1
"L03F6306",0.53840116039486,4.36917146202771,2.08935946060023,2.09115355419625,0.0365143012918504,0.558535447883535
"L03F6307",0.939868358766411,3.64139880098227,1.63239915526443,2.23070367883914,0.0257007637960536,0.558535447883535
"L03F6308",0.0513208966697572,0,8.30006502754869,0,1,1
"L03F6309",0.0405462876929317,0,8.30006269438372,0,1,1
"L03F6310",0.00379927621165608,0,8.30006731900928,0,1,1
"L03F6311",0.504986513260174,4.6844625290463,2.57619498938524,1.81836489409684,0.0690083802865322,0.569258539082372
"L03F6312",0.0206542560327336,0,8.30006665936909,0,1,1
"L03F6313",0.104839126093553,0,8.30005901511326,0,1,1
"L03F6314",1.01077776869697,4.69367831487541,1.97263267530129,2.37939803676756,0.0173409397369661,0.558535447883535
"L03F6315",0.0103271280163668,0,8.30006735448376,0,1,1
"L03F6316",0.016112500706821,0,8.3000675868341,0,1,1
"L03F6317",0.33331121715556,4.20505137408098,3.14675912775132,1.33631180632689,0.181447379147335,0.705683170370336
"L03F6318",0.127434080635085,0,8.30006150490514,0,1,1
"L03F6319",4.14297476177574,-0.782054436008323,1.02679199180857,-0.761648359402206,0.44626990395085,1
"L03F6320",0.0163854598512073,0,8.30006830614908,0,1,1
"L03F6321",0.398332403889851,5.7157289741333,2.08214905996313,2.74511036891591,0.00604905501952503,0.558535447883535
"L03F6322",0.14212079082875,0,5.9684787151697,0,1,1
"L03F6323",0.142138533511624,5.25847675767756,8.28803225669676,0.634466251434855,0.525776584851926,1
"L03F6324",0.082708176019486,5.25842801983138,8.28803171548852,0.634460412356353,0.525780394397009,1
"L03F6325",2.10308729540894,2.45228537869826,1.40482960634287,1.74561054780315,0.0808786481555312,0.569258539082372
"L03F6326",0.0118222518964191,0,8.3000675868341,0,1,1
"L03F6327",0.696162689635082,4.08010305898896,1.8316364621705,2.22757252503808,0.0259090345161002,0.558535447883535
"L03F6328",0.067621200797733,0,8.30006241906261,0,1,1
"L03F6329",0.00764300716804234,0,8.30006731900928,0,1,1
"L03F6330",4.24795313398682,-0.225798900596703,1.05111760071235,-0.214817923744857,0.829909277987644,1
"L03F6331",2.50203176520774,0.586320836843056,1.19409825182247,0.491015572586424,0.623415433449864,1
"L03F6332",1.25531579515971,0.582259161384623,1.2858174610895,0.452831897998386,0.650669792667714,1
"L03F6333",0.0160801743652294,5.25867235128559,8.28803442980503,0.634489684595735,0.525761296676949,1
"L03F6334",0.023509483963792,0,8.30006665780708,0,1,1
"L03F6335",13.7254496237539,-0.451158756950169,1.1560725035294,-0.390251265013928,0.696350756769843,1
"L03F6336",0.0213673695688264,0,8.3000675868341,0,1,1
"L03F6337",0.003793630537578,0,8.30006765541818,0,1,1
"L03F6338",0.0725709881269993,0,8.30006007841202,0,1,1
"L03F6339",0.0353595359124053,0,8.3000645522013,0,1,1
"L03F6340",0.496943887513631,3.16206955966692,2.10861790904411,1.49959342852227,0.133719750975826,0.649505774161923
"L03F6341",0.0786388463328214,0,8.30006147506297,0,1,1
"L03F6342",0.016112500706821,0,8.3000675868341,0,1,1
"L03F6343",0.127886037026326,0,8.30006260261112,0,1,1
"L03F6344",27.8154334614616,-0.513874226679917,0.638276597878218,-0.80509645565599,0.420764020958988,1
"L03F6345",0.191499754920792,0,3.99070388519198,0,1,1
"L03F6346",0.0875467801285307,0,8.3000621690656,0,1,1
"L03F6347",7.11204974949244,-0.176326807706879,0.873190491969353,-0.201933952932996,0.839968358210314,1
"L03F6348",1.16453798455566,0.961460963313602,1.25019104239096,0.769051233541744,0.441862896537556,1
"L03F6349",0.0234797034903267,5.25864393829917,8.28803411420131,0.63448628056304,0.525763517509088,1
"L03F6350",239.119641730304,-0.341953541373145,0.285824103789102,-1.196377551228,0.231549257627603,0.75657373713205
"L03F6351",1462.07435294726,-0.110222596487751,0.187531049225536,-0.587756517883025,0.556695733767615,1
"L03F6352",0.471967542734156,0,6.20651528913959,0,1,1
"L03F6353",14.0632176130953,0.776680458108549,1.08456299162608,0.716122958376144,0.473915428734628,1
"L03F6354",12.9408887801166,0.776113556240322,0.997477660220868,0.77807612861071,0.436524134608758,1
"L03F6355",5.11136812501214,1.07044627468754,1.01440647993645,1.05524392426456,0.291313780062405,0.852699710390998
"L03F6356",0,NA,NA,NA,NA,NA
"L03F6357",0,NA,NA,NA,NA,NA
"L03F6358",0,NA,NA,NA,NA,NA
"L03F6359",0,NA,NA,NA,NA,NA
"L03F6360",0,NA,NA,NA,NA,NA
"L03F6361",0,NA,NA,NA,NA,NA
"L03F6362",0,NA,NA,NA,NA,NA
"L03F6363",0,NA,NA,NA,NA,NA
