"","res35noFilt.rownames","res35noFilt.log2FoldChange","res35noFilt.padj"
"1","L03F6075",-1.11605315562471,1
"2","L03F6076",0.159317299906777,1
"3","L03F6077",-0.927211419656872,1
"4","L03F6078",0.736767709497348,1
"5","L03F6079",3.34814475377757,0.264523235712361
"6","L03F6080",0,1
"7","L03F6081",-2.61163693972656,1
"8","L03F6082",-0.174737706879305,1
"9","L03F6083",0.368005962765778,1
"10","L03F6084",1.13403664901802,1
"11","L03F6085",-1.20272554431047,1
"12","L03F6086",-2.54134331426031,0.890011000077354
"13","L03F6087",0.155474796927614,1
"14","L03F6088",-0.12145209012214,1
"15","L03F6089",-0.0487135765693903,1
"16","L03F6090",-0.418500188110783,1
"17","L03F6091",1.59667483372482,1
"18","L03F6092",-0.218748345907948,1
"19","L03F6093",-0.0549855735470156,1
"20","L03F6094",0.705299113930601,1
"21","L03F6095",2.01730257173329,1
"22","L03F6096",0.128921724089347,1
"23","L03F6097",-0.121121989142063,1
"24","L03F6098",-0.391178470346733,1
"25","L03F6099",-0.930959402063177,1
"26","L03F6100",-1.59205484331913,1
"27","L03F6101",1.10329956289887,1
"28","L03F6102",0.383236437326779,1
"29","L03F6103",-1.16014015855054,1
"30","L03F6104",-0.733009870782439,1
"31","L03F6105",0,1
"32","L03F6106",-0.818353731711354,0.675009025455788
"33","L03F6107",-0.192620971138421,1
"34","L03F6108",0,1
"35","L03F6109",0.25366160886211,1
"36","L03F6110",0,1
"37","L03F6111",-0.239857150565697,0.523525145423074
"38","L03F6112",-0.0904717663765026,1
"39","L03F6113",0,1
"40","L03F6114",0.277874833638787,1
"41","L03F6115",0.0742630095237304,1
"42","L03F6116",-0.432703038710217,1
"43","L03F6117",-1.18499370262245,1
"44","L03F6118",-1.20156697528104,1
"45","L03F6119",0.371600869669488,1
"46","L03F6120",-0.936062778991698,1
"47","L03F6121",3.47086692493206,0.675009025455788
"48","L03F6122",2.91907960455716,0.815856354760947
"49","L03F6123",-1.73275006234307,0.523525145423074
"50","L03F6124",0.293083742386576,1
"51","L03F6125",-1.30634802776577,0.993662227164747
"52","L03F6126",-1.18557932986949,1
"53","L03F6127",-1.79653281962188,0.644268335638272
"54","L03F6128",0,1
"55","L03F6129",-1.46843418185858,0.296324262270583
"56","L03F6130",-2.00784791216538,1
"57","L03F6131",-1.11916579476325,0.644268335638272
"58","L03F6132",-1.57872067585846,0.264523235712361
"59","L03F6133",0.158581465451726,1
"60","L03F6134",0.276141886148052,1
"61","L03F6135",0,1
"62","L03F6136",0.897757865649569,1
"63","L03F6137",-1.18601767753927,1
"64","L03F6138",0,1
"65","L03F6139",-0.0898293626780028,1
"66","L03F6140",-0.0851529304118432,1
"67","L03F6141",0.554983082778047,1
"68","L03F6142",0,1
"69","L03F6143",-2.20247524921335,1
"70","L03F6144",-2.20260563945812,1
"71","L03F6145",0,1
"72","L03F6146",-2.42382163038774,1
"73","L03F6147",0.074306598812738,1
"74","L03F6148",-4.99659366814948,1
"75","L03F6149",0.166488639068641,1
"76","L03F6150",-0.0406333991941786,1
"77","L03F6151",0,1
"78","L03F6152",0,1
"79","L03F6153",-0.576023026373083,1
"80","L03F6154",-0.369691361192094,1
"81","L03F6155",-0.192547623151903,0.960863392032044
"82","L03F6156",0.397588555003688,0.523525145423074
"83","L03F6157",0.034537636294699,1
"84","L03F6158",-0.621159579330662,1
"85","L03F6159",-0.770926453328745,1
"86","L03F6160",-0.29148470227587,1
"87","L03F6161",1.9639454849744,1
"88","L03F6162",-2.06997705222582,0.523525145423074
"89","L03F6163",-2.01389381103467,1
"90","L03F6164",-0.543331564984767,1
"91","L03F6165",-1.86745214373976,0.523525145423074
"92","L03F6166",0.604568473258882,1
"93","L03F6167",-0.514715543486339,1
"94","L03F6168",0,1
"95","L03F6169",-0.38645087779405,1
"96","L03F6170",0.00622249646840238,1
"97","L03F6171",1.0483508151328,1
"98","L03F6172",-2.20291080826714,1
"99","L03F6173",0,1
"100","L03F6174",-2.20293144610767,1
"101","L03F6175",0,1
"102","L03F6176",-1.863153435594,0.763530056549371
"103","L03F6177",-0.512357161641865,1
"104","L03F6178",-2.1903809379047,1
"105","L03F6179",-1.80836217485867,0.699331293897573
"106","L03F6180",0.196082205546328,1
"107","L03F6181",0,1
"108","L03F6182",-1.36070250236686,1
"109","L03F6183",-2.70533824481224,0.0255699631460889
"110","L03F6184",0,1
"111","L03F6185",0,1
"112","L03F6186",0,1
"113","L03F6187",0,1
"114","L03F6188",-3.0991242745606,1
"115","L03F6189",-0.733014176790422,1
"116","L03F6190",0,1
"117","L03F6191",0,1
"118","L03F6192",-1.54668240847891,1
"119","L03F6193",-3.35856177410307,0.525636946142355
"120","L03F6194",0,1
"121","L03F6195",-0.533330763010631,1
"122","L03F6196",-0.225676124174627,1
"123","L03F6197",0.0462860136205339,1
"124","L03F6198",-2.62803982978042,0.264523235712361
"125","L03F6199",-2.45046309908413,1
"126","L03F6200",-2.02272515366369,1
"127","L03F6201",0.202293953694455,1
"128","L03F6202",-1.94865885343627,1
"129","L03F6203",0,1
"130","L03F6204",0,1
"131","L03F6205",-1.4817736959368,1
"132","L03F6206",-0.0695872692548634,1
"133","L03F6207",0.391395530013028,0.0845751854729613
"134","L03F6208",0.462523790423464,1
"135","L03F6209",-1.2661367441573,1
"136","L03F6210",1.99937151108144,1
"137","L03F6211",-0.4357741032482,1
"138","L03F6212",-4.16290500053925,0.0255699631460889
"139","L03F6213",-1.43379205889247,0.264523235712361
"140","L03F6214",-2.106629584405,1
"141","L03F6215",1.34282564649424,1
"142","L03F6216",3.47957246410606,1
"143","L03F6217",0,1
"144","L03F6218",0,1
"145","L03F6219",-1.35767282128766,1
"146","L03F6220",0,1
"147","L03F6221",0,1
"148","L03F6222",-0.584624601270909,1
"149","L03F6223",-2.20252878362772,1
"150","L03F6224",0.126565717753819,1
"151","L03F6225",-0.2517084180909,1
"152","L03F6226",1.30326812780509,1
"153","L03F6227",0.0489055440813972,1
"154","L03F6228",-2.8785340140662,1
"155","L03F6229",1.60239445040489,1
"156","L03F6230",0,1
"157","L03F6231",0,1
"158","L03F6232",0,1
"159","L03F6233",-0.646218624852314,1
"160","L03F6234",-1.05875066630307,1
"161","L03F6235",-0.322864477358851,1
"162","L03F6236",-1.45830522072976,0.264523235712361
"163","L03F6237",-1.61974696356087,0.523525145423074
"164","L03F6238",-1.76234139457757,0.523525145423074
"165","L03F6239",0,1
"166","L03F6240",-1.75272026533829,0.296324262270583
"167","L03F6241",-0.893025377753296,1
"168","L03F6242",-0.15096903592955,1
"169","L03F6243",-2.04976024780649,1
"170","L03F6244",0,1
"171","L03F6245",-1.38240673032901,1
"172","L03F6246",2.61491189679082,1
"173","L03F6247",-0.413348742166849,1
"174","L03F6248",0.692142107273624,1
"175","L03F6249",0.817245606956807,1
"176","L03F6250",1.22434607858702,1
"177","L03F6251",0.219421165283996,1
"178","L03F6252",1.26286668246086,1
"179","L03F6253",-0.37372147509096,1
"180","L03F6254",-0.083971642498254,1
"181","L03F6255",-0.267304578941495,1
"182","L03F6256",0.334099084462198,1
"183","L03F6257",1.18668360273967,1
"184","L03F6258",0.549863555085611,1
"185","L03F6259",0,1
"186","L03F6260",0,1
"187","L03F6261",0.903135019641675,1
"188","L03F6262",0,1
"189","L03F6263",0,1
"190","L03F6264",0,1
"191","L03F6265",0,1
"192","L03F6266",0,1
"193","L03F6267",-0.121537697303296,1
"194","L03F6268",1.05609804139098,1
"195","L03F6269",-0.889853138655719,1
"196","L03F6270",-2.45264982538569,1
"197","L03F6271",-0.0144855274800176,1
"198","L03F6272",1.97420189946091,1
"199","L03F6273",1.03173082148387,1
"200","L03F6274",0,1
"201","L03F6275",-0.568499790071693,1
"202","L03F6276",-0.00235448999779749,1
"203","L03F6277",0.0856142914536487,1
"204","L03F6278",-0.239795940854342,1
"205","L03F6279",-2.20252434368782,1
"206","L03F6280",0,1
"207","L03F6281",-2.20255366006686,1
"208","L03F6282",-3.86268253216464,1
"209","L03F6283",0,1
"210","L03F6284",0,1
"211","L03F6285",0.0740962920627205,1
"212","L03F6286",0.533121895932672,1
"213","L03F6287",0,1
"214","L03F6288",1.08710227485546,1
"215","L03F6289",1.46527957825041,1
"216","L03F6290",1.80301781275716,1
"217","L03F6291",0,1
"218","L03F6292",1.74884382743683,0.890011000077354
"219","L03F6293",-0.0331680649392847,1
"220","L03F6294",-0.561649174978189,1
"221","L03F6295",2.25052050503253,0.699331293897573
"222","L03F6296",2.71825024232682,1
"223","L03F6297",0.184718213252487,1
"224","L03F6298",0,1
"225","L03F6299",0.255923760146878,1
"226","L03F6300",0,1
"227","L03F6301",0,1
"228","L03F6302",0,1
"229","L03F6303",0.340549942441366,1
"230","L03F6304",0.477823453247124,1
"231","L03F6305",0.577280495589364,1
"232","L03F6306",1.06284570216301,1
"233","L03F6307",1.62277380533146,1
"234","L03F6308",0,1
"235","L03F6309",0.0741085211312044,1
"236","L03F6310",0,1
"237","L03F6311",-0.0962181624756461,1
"238","L03F6312",0,1
"239","L03F6313",0,1
"240","L03F6314",1.7951889406579,1
"241","L03F6315",0,1
"242","L03F6316",0,1
"243","L03F6317",0.173338802674807,1
"244","L03F6318",0,1
"245","L03F6319",-1.75525157477678,0.523525145423074
"246","L03F6320",0,1
"247","L03F6321",1.50090871793663,1
"248","L03F6322",1.51835693413993,1
"249","L03F6323",-1.59217140530051,1
"250","L03F6324",-0.260290452782983,1
"251","L03F6325",1.61461762545224,1
"252","L03F6326",0,1
"253","L03F6327",0.191258795903709,1
"254","L03F6328",-0.121340015445608,1
"255","L03F6329",0,1
"256","L03F6330",-1.6189143493358,0.675009025455788
"257","L03F6331",-2.36477153283727,0.523525145423074
"258","L03F6332",-1.86931630288025,0.890011000077354
"259","L03F6333",-1.59197580984037,1
"260","L03F6334",0,1
"261","L03F6335",0.334616964463893,1
"262","L03F6336",0,1
"263","L03F6337",0,1
"264","L03F6338",0.0739716915163806,1
"265","L03F6339",0,1
"266","L03F6340",-1.02691814463864,1
"267","L03F6341",0,1
"268","L03F6342",0,1
"269","L03F6343",0,1
"270","L03F6344",0.0916998806378224,1
"271","L03F6345",0.0575877589479066,1
"272","L03F6346",0.278039213678622,1
"273","L03F6347",-0.137498642310503,1
"274","L03F6348",-0.782461657140317,1
"275","L03F6349",-1.59200422310719,1
"276","L03F6350",-0.220897565411303,1
"277","L03F6351",-0.00961686180811957,1
"278","L03F6352",0.961776301805491,1
"279","L03F6353",0.437769946317178,1
"280","L03F6354",1.64909141540027,0.523525145423074
"281","L03F6355",1.41367060513414,0.754111316555695
"282","L03F6356",NA,NA
"283","L03F6357",NA,NA
"284","L03F6358",NA,NA
"285","L03F6359",NA,NA
"286","L03F6360",NA,NA
"287","L03F6361",NA,NA
"288","L03F6362",NA,NA
"289","L03F6363",NA,NA
